OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,PricePerItem,HighValueOrder,OrderMonth
ORD2000,2023-03-2,C98474,Tablet,2.0,393.33,980 Main,Pending,TRK79186,3.0,SAVE10,Instagram,786.66,393.33,0,3
ORD2000,2023-07-1,C39416,Printer,1.0,473.96,942 Main,Pending,Not Assigned,3.0,No Coupon,Google,473.96,473.96,0,7
ORD2000,2023-01-2,C28976,Printer,2.0,533.81,914 Main,Pending,Not Assigned,3.0,FREESHIP,Email,1067.62,533.81,1,1
ORD2000,2024-03-01,C60672,Tablet,1.0,423.4,382 Main,Pending,Not Assigned,3.0,No Coupon,Referral,423.4,423.4,0,3
ORD2000,2025-03-2,C84329,Desk,1.0,431.44,891 Main,Pending,Not Assigned,3.0,SAVE10,Facebook,431.44,431.44,0,3
ORD2000,2023-01-2,C14552,Monitor,5.0,224.0,273 Main,Pending,Not Assigned,9.0,SAVE10,Google,1120.0,224.0,1,1
ORD2000,2023-05-01,C54829,Chair,5.0,62.51,587 Main,Pending,Not Assigned,9.0,WINTER1,Instagram,312.55,62.51,0,5
ORD2000,2024-11-1,C99023,Monitor,4.0,342.95,569 Main,Pending,Not Assigned,6.0,No Coupon,Google,1371.8,342.95,1,11
ORD2000,2023-01-2,C34416,Monitor,2.0,49.62,633 Main,Pending,Not Assigned,2.0,SAVE10,Google,99.24,49.62,0,1
ORD2000,2025-04-01,C42372,Phone,4.0,273.25,755 Main,Pending,Not Assigned,5.0,FREESHIP,Referral,1093.0,273.25,1,4
ORD2000,2024-10-3,C17470,Laptop,2.0,230.95,956 Main,Pending,Not Assigned,3.0,WINTER1,Referral,461.9,230.95,0,10
ORD2000,2024-07-2,C42577,Monitor,1.0,399.98,709 Main,Pending,Not Assigned,3.0,WINTER1,Email,399.98,399.98,0,7
ORD2000,2024-03-01,C21944,Laptop,5.0,59.55,296 Main,Pending,Not Assigned,6.0,No Coupon,Referral,297.75,59.55,0,3
ORD2000,2024-02-2,C97593,Printer,1.0,472.74,881 Main,Pending,Not Assigned,6.0,WINTER1,Google,472.74,472.74,0,2
ORD2000,2023-11-2,C59823,Phone,4.0,160.07,568 Main,Pending,Not Assigned,5.0,No Coupon,Email,640.28,160.07,0,11
ORD2000,2024-09-2,C33260,Desk,3.0,423.53,930 Main,Pending,Not Assigned,6.0,SAVE10,Referral,1270.59,423.53,1,9
ORD2000,2025-03-2,C44267,Monitor,2.0,426.7,895 Main,Pending,Not Assigned,5.0,SAVE10,Referral,853.4,426.7,0,3
ORD2000,2023-06-3,C26445,Chair,3.0,500.08,996 Main,Pending,Not Assigned,6.0,No Coupon,Facebook,1500.24,500.08,1,6
ORD2000,2023-05-01,C12388,Tablet,5.0,536.72,830 Main,Pending,Not Assigned,10.0,No Coupon,Email,2683.6,536.72,1,5
ORD2000,2023-06-01,C52184,Chair,1.0,162.77,912 Main,Pending,Not Assigned,4.0,WINTER1,Facebook,162.77,162.77,0,6
ORD2000,2023-01-01,C67195,Chair,4.0,576.52,926 Main,Pending,Not Assigned,5.0,WINTER1,Facebook,2306.08,576.52,1,1
ORD2000,2024-12-01,C50304,Monitor,2.0,465.15,128 Main,Pending,Not Assigned,2.0,SAVE10,Facebook,930.3,465.15,0,12
ORD2000,2025-05-01,C59337,Laptop,2.0,534.43,465 Main,Pending,Not Assigned,5.0,No Coupon,Facebook,1068.86,534.43,1,5
ORD2000,2024-10-1,C10054,Laptop,2.0,76.74,409 Main,Pending,Not Assigned,7.0,SAVE10,Instagram,153.48,76.74,0,10
ORD2000,2024-12-1,C15924,Laptop,1.0,245.89,549 Main,Pending,Not Assigned,3.0,SAVE10,Google,245.89,245.89,0,12
ORD2000,2025-02-2,C96664,Printer,3.0,256.46,666 Main,Pending,Not Assigned,4.0,SAVE10,Referral,769.38,256.46,0,2
ORD2000,2023-08-2,C84766,Desk,2.0,344.02,267 Main,Pending,Not Assigned,4.0,FREESHIP,Instagram,688.04,344.02,0,8
ORD2000,2023-12-01,C20212,Monitor,3.0,611.45,657 Main,Pending,Not Assigned,4.0,FREESHIP,Instagram,1834.35,611.45,1,12
ORD2000,2024-05-01,C28712,Printer,2.0,151.66,980 Main,Pending,Not Assigned,6.0,No Coupon,Instagram,303.32,151.66,0,5
ORD2000,2023-12-1,C60572,Chair,3.0,499.21,871 Main,Pending,Not Assigned,8.0,No Coupon,Instagram,1497.63,499.21,1,12
ORD2000,2025-04-2,C73225,Phone,2.0,550.18,996 Main,Pending,Not Assigned,3.0,FREESHIP,Referral,1100.36,550.18,1,4
ORD2000,2024-02-1,C17388,Chair,1.0,317.25,157 Main,Pending,Not Assigned,1.0,SAVE10,Facebook,317.25,317.25,0,2
ORD2000,2024-06-2,C43212,Monitor,4.0,550.14,223 Main,Pending,Not Assigned,4.0,FREESHIP,Instagram,2200.56,550.14,1,6
ORD2000,2023-07-1,C38134,Desk,2.0,209.94,323 Main,Pending,Not Assigned,3.0,FREESHIP,Email,419.88,209.94,0,7
ORD2000,2023-08-2,C12408,Monitor,2.0,80.77,464 Main,Pending,Not Assigned,4.0,No Coupon,Google,161.54,80.77,0,8
ORD2000,2023-10-01,C11985,Printer,1.0,30.44,633 Main,Pending,Not Assigned,1.0,SAVE10,Email,30.44,30.44,0,10
ORD2000,2023-07-3,C96494,Tablet,1.0,179.22,446 Main,Pending,Not Assigned,6.0,FREESHIP,Instagram,179.22,179.22,0,7
ORD2000,2024-12-3,C36778,Tablet,1.0,388.33,434 Main,Pending,Not Assigned,2.0,SAVE10,Facebook,388.33,388.33,0,12
ORD2000,2024-09-01,C30513,Tablet,1.0,586.44,232 Main,Pending,Not Assigned,5.0,SAVE10,Facebook,586.44,586.44,0,9
ORD2000,2024-05-1,C67551,Phone,4.0,488.78,512 Main,Pending,Not Assigned,5.0,FREESHIP,Google,1955.12,488.78,1,5
ORD2000,2025-03-2,C48120,Chair,1.0,280.25,623 Main,Pending,Not Assigned,5.0,WINTER1,Email,280.25,280.25,0,3
ORD2000,2025-06-2,C95984,Printer,3.0,344.4,565 Main,Pending,Not Assigned,3.0,No Coupon,Facebook,1033.2,344.4,1,6
ORD2000,2023-05-2,C54298,Tablet,3.0,479.21,566 Main,Pending,Not Assigned,5.0,WINTER1,Referral,1437.63,479.21,1,5
ORD2000,2023-01-2,C88036,Printer,5.0,314.27,842 Main,Pending,Not Assigned,6.0,SAVE10,Instagram,1571.35,314.27,1,1
ORD2000,2023-01-1,C60190,Phone,4.0,474.69,202 Main,Pending,Not Assigned,6.0,SAVE10,Google,1898.76,474.69,1,1
ORD2000,2024-09-1,C97603,Chair,4.0,593.27,811 Main,Pending,Not Assigned,5.0,No Coupon,Facebook,2373.08,593.27,1,9
ORD2000,2024-08-2,C39256,Desk,1.0,417.1,634 Main,Pending,Not Assigned,3.0,FREESHIP,Referral,417.1,417.1,0,8
ORD2000,2024-03-2,C61618,Desk,4.0,122.2,104 Main,Pending,Not Assigned,7.0,FREESHIP,Facebook,488.8,122.2,0,3
